billboard_rank,artist_name,id,spotify_name
1,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,The Beatles
2,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Madonna
3,Elton John,3PhoLpVuITZKcymswpck5b,Elton John
4,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,Elvis Presley
5,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey
6,Stevie Wonder,7guDJrEfX3qb6FEbdPA5qi,Stevie Wonder
7,Janet Jackson,4qwGe91Bz9K2T8jXTZ815W,Janet Jackson
8,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson
9,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,Whitney Houston
10,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones
11,Paul McCartney,4STHEaNw4mPZ2tzheohgXB,Paul McCartney
12,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,Bee Gees
13,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Rihanna
14,Usher,23zg3TcAtWQy7J6upgbUnj,Usher
15,Chicago,3iDD7bnsjL9J4fO298r0L0,Chicago
16,The Supremes,57bUPid8xztkieZfS7OlEV,The Supremes
17,Hall & Oates,77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates
18,Prince,5a2EaR3hamoenG9rDuVn8j,Prince
19,Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,Rod Stewart
20,Olivia Newton-John,4BoRxUdrcgbbq1rxJvvhg9,Olivia Newton-John
21,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin
22,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,Marvin Gaye
23,Phil Collins,4lxfqrEsLX6N1N4OCSkILp,Phil Collins
24,Katy Perry,6jJ0s89eD6GaHleKKya26X,Katy Perry
25,Billy Joel,6zFYqv1mOsgBRQbae3JJ9e,Billy Joel
26,Diana Ross,3MdG05syQeRYPPcClLaUGl,Diana Ross
